StudentID,Age,Gender,StudyHoursPerWeek,AttendanceRate,SleepHours,PreviousGrade,InternetAccess,PartTimeJob,SchoolType,CommuteTimeMinutes,SocialMediaHoursPerDay,FamilyIncome,AssignmentsCompleted,ClassParticipationScore,ExtracurricularActivities,StressLevel,PassFinalExam
1,22,FEMALE,10.361633687379072,91.08215721331254,0.0,84.57791614472906,Yes,No,PRIVATE,38.59695250612983,5.168396488087085,17051.045073714402,8,89.36428903004068,0,5,0
2,19,M,18.994190680152116,89.23051226019581,6.4037177343372536,77.07603351400626,Yes,yes,public,51.5544036566718,3.420606080443991,26456.371332853498,0,77.89108748511447,1,5,0
3,28,Female,9.657185904202382,65.96841946933107,6.637628726672559,78.07676653401114,N,yes,public,,3.3967870343549733,28957.50222842705,11,105.74477225644183,,4,0
4,26,M,2.365825295348367,96.28973174262549,6.878360594640016,64.04480611154437,,Yes,Private,42.376698344010364,2.981635293229722,22264.42529806923,9,81.87219907887089,0,3,0
5,23,F,3.6072029348178614,71.96054832328927,6.325656435317063,66.1924591039727,Yes,No,public,28.097194266531815,1.9644851055555606,17285.51050289473,6,70.24030221094664,2,7,0
6,28,F,15.336594626629674,92.12086697421718,6.822069774755789,92.98725018351311,no,no,Private,41.906334019765836,,19669.30236152664,13,65.18502898144921,,7,0
7,20,male,16.818057512050373,85.50930970102011,8.867177086343277,67.64798965236753,,no,PRIVATE,21.552958433746994,3.951176871857165,20156.796932621026,0,97.25602595513848,3,1,0
8,22,M,8.66978362426914,,7.978174528422827,91.56208252057296,Yes,,,52.94391482460313,-0.4937913826911098,13580.559681081304,14,82.1117156804674,4,7,0
9,25,FEMALE,19.470147211441617,76.64801026442221,7.803731888745345,72.56938801119134,No,Yes,PRIVATE,48.699209270604264,1.9224783253078086,24631.429188569877,0,62.26858778410531,2,3,1
10,18,male,3.36935956411728,74.76024805822703,5.816690710964194,75.02287936143505,Y,yes,Public,43.525282228139645,2.4901060591928212,23680.33859088373,12,60.1166932992321,1,3,0
11,22,Female,14.537441409468784,79.708705911684,5.166138757657514,85.7036516022993,Yes,Yes,PRIVATE,46.898385767151474,3.512341211388556,32323.52991821339,19,60.043918283538254,3,6,0
